time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,surface_pressure_mean
2015-06-01,32.3,27.9,0.0,22.1,72,1004.6
2015-06-02,32.9,28.1,0.0,19.2,64,1006.1
2015-06-03,33.3,27.7,0.0,18.8,66,1005.4
2015-06-04,34.3,27.4,0.0,22.7,69,1005.1
2015-06-05,34.1,26.9,2.6,19.9,73,1006.1
2015-06-06,33.3,27.5,0.2,13.7,74,1004.8
2015-06-07,33.4,28.2,3.0,19.1,74,1003.8
2015-06-08,32.3,27.4,3.7,25.9,76,1003.8
2015-06-09,32.4,26.7,4.6,23.2,78,1005.6
2015-06-10,30.6,26.1,9.8,22.7,84,1005.1
2015-06-11,30.0,26.6,9.2,19.9,85,1005.0
2015-06-12,29.8,26.2,13.6,17.8,87,1005.2
2015-06-13,27.2,26.1,35.2,13.5,92,1004.2
2015-06-14,26.7,25.8,110.4,15.5,93,1004.0
2015-06-15,26.8,25.7,37.2,15.1,93,1004.3
2015-06-16,26.8,25.5,39.4,21.6,92,1003.7
2015-06-17,28.8,26.0,15.5,21.4,87,1001.6
2015-06-18,28.6,26.1,24.8,25.9,89,1001.0
2015-06-19,27.2,25.8,56.7,28.8,93,1000.1
2015-06-20,27.9,25.8,50.4,29.1,91,998.7
2015-06-21,28.1,26.2,56.6,36.0,91,997.6
2015-06-22,27.3,26.2,37.1,34.1,90,998.4
2015-06-23,28.1,25.7,65.2,40.0,90,997.5
2015-06-24,28.7,26.8,47.5,40.2,88,1000.8
2015-06-25,29.2,27.0,6.9,31.1,86,1002.3
2015-06-26,29.0,27.0,5.3,28.3,85,1002.6
2015-06-27,29.5,26.4,5.7,25.6,85,1003.8
2015-06-28,29.6,26.8,5.2,21.9,85,1005.9
2015-06-29,29.0,26.6,5.0,19.1,86,1007.2
2015-06-30,28.9,25.3,4.0,16.3,87,1007.1
2015-07-01,29.3,26.2,3.2,15.9,85,1007.9
2015-07-02,29.5,26.3,3.0,16.9,86,1008.9
2015-07-03,29.3,26.4,2.8,19.3,86,1009.1
2015-07-04,29.2,26.8,4.2,24.3,83,1008.8
2015-07-05,29.3,26.9,3.8,26.1,82,1007.2
2015-07-06,29.2,27.0,6.2,31.2,81,1005.6
2015-07-07,28.8,27.1,7.1,29.8,83,1004.3
2015-07-08,29.2,26.9,5.6,25.3,86,1005.3
2015-07-09,28.9,26.5,2.7,22.8,87,1006.2
2015-07-10,28.3,26.0,4.8,23.6,87,1003.6
2015-07-11,28.8,26.5,5.0,25.8,85,1003.3
2015-07-12,28.5,26.2,4.3,23.7,86,1005.0
2015-07-13,29.1,25.6,3.0,16.2,86,1005.7
2015-07-14,29.4,26.0,2.0,15.3,85,1005.0
2015-07-15,29.4,25.8,4.8,17.4,83,1003.2
2015-07-16,28.5,26.3,5.0,22.5,86,1001.1
2015-07-17,28.5,26.5,5.0,23.1,85,1001.1
2015-07-18,29.3,26.3,8.8,22.4,86,1003.0
2015-07-19,28.9,26.1,11.2,23.1,86,1003.7
2015-07-20,27.4,25.8,12.1,21.9,90,1002.6
2015-07-21,27.7,25.7,22.6,19.1,90,1002.6
2015-07-22,27.6,25.6,19.6,18.9,91,1002.9
2015-07-23,27.8,25.6,18.5,21.1,91,1003.1
2015-07-24,28.0,25.7,15.9,23.1,91,1004.8
2015-07-25,28.7,25.9,6.0,22.9,88,1005.2
2015-07-26,27.4,25.5,9.8,26.3,88,1005.1
2015-07-27,26.8,25.8,16.5,29.2,89,1005.9
2015-07-28,28.1,25.6,16.0,32.8,85,1006.5
2015-07-29,26.8,25.6,18.9,26.9,89,1007.1
2015-07-30,27.8,25.8,6.9,23.2,85,1007.5
2015-07-31,27.7,25.4,8.9,21.4,88,1007.5
2015-08-01,28.0,25.5,6.0,19.7,87,1008.6
2015-08-02,28.5,26.3,3.3,19.6,84,1009.1
2015-08-03,28.2,26.0,3.4,21.0,84,1007.7
2015-08-04,27.7,26.0,4.8,24.1,84,1006.4
2015-08-05,26.8,25.1,11.6,21.4,90,1005.4
2015-08-06,27.0,25.4,7.8,18.1,90,1004.4
2015-08-07,28.6,25.7,6.6,20.3,87,1004.5
2015-08-08,28.5,25.5,6.0,15.9,87,1004.9
2015-08-09,27.5,25.5,5.6,14.7,89,1003.3
2015-08-10,27.8,25.1,4.6,17.4,88,1003.0
2015-08-11,28.2,25.5,1.7,15.9,87,1004.8
2015-08-12,27.6,25.3,6.0,14.4,89,1005.8
2015-08-13,27.2,25.3,6.0,15.5,89,1005.4
2015-08-14,27.2,25.1,7.9,18.9,91,1005.4
2015-08-15,28.0,24.9,6.4,18.6,90,1006.6
2015-08-16,28.2,25.0,4.4,16.7,90,1008.0
2015-08-17,28.1,24.9,5.9,16.1,89,1006.8
2015-08-18,28.9,25.2,1.8,14.6,86,1007.4
2015-08-19,29.4,25.2,0.8,14.2,85,1008.5
2015-08-20,29.1,25.3,2.8,17.5,85,1008.7
2015-08-21,29.2,26.1,2.7,18.5,83,1008.3
2015-08-22,28.2,26.3,5.4,21.1,86,1007.4
2015-08-23,28.2,25.8,6.3,17.9,87,1007.5
2015-08-24,29.1,26.1,3.4,18.8,83,1008.6
2015-08-25,26.7,25.3,7.2,12.6,89,1008.0
2015-08-26,28.8,25.8,4.4,15.2,85,1006.5
2015-08-27,29.0,25.4,4.4,14.1,85,1005.8
2015-08-28,27.9,25.6,3.0,13.5,88,1006.5
2015-08-29,28.1,25.0,4.6,15.0,90,1006.4
2015-08-30,27.8,24.9,6.8,15.1,90,1006.8
2015-08-31,27.6,24.9,3.7,14.8,90,1007.9
2015-09-01,28.3,24.6,2.6,16.7,88,1007.1
2015-09-02,28.0,24.8,2.3,13.6,87,1006.5
2015-09-03,29.0,24.0,0.6,12.9,86,1007.5
2015-09-04,29.9,24.3,0.0,12.6,81,1010.0
2015-09-05,30.1,24.1,0.0,16.1,81,1010.7
2015-09-06,29.4,24.4,0.0,15.3,82,1010.1
2015-09-07,29.1,25.2,0.6,12.0,84,1009.5
2015-09-08,29.3,24.8,1.2,12.3,82,1008.8
