date,temp_max_nasa,precip_nasa,humidity_nasa,windspeed_nasa
2015-01-01,27.83,0.1,63.54,2.06
2015-01-02,28.01,0.01,69.24,2.54
2015-01-03,28.1,0.02,70.91,2.44
2015-01-04,31.33,0.0,64.48,3.2
2015-01-05,31.79,0.0,57.58,4.15
2015-01-06,32.08,0.0,56.39,2.97
2015-01-07,31.08,0.0,48.82,2.75
2015-01-08,31.5,0.0,44.4,3.29
2015-01-09,32.09,0.0,45.31,3.73
2015-01-10,32.37,0.0,42.27,4.01
2015-01-11,32.77,0.0,40.19,3.87
2015-01-12,32.96,0.0,41.28,3.42
2015-01-13,32.45,0.0,44.07,3.64
2015-01-14,32.08,0.0,46.79,2.82
2015-01-15,32.14,0.0,46.51,3.32
2015-01-16,32.35,0.0,47.91,3.37
2015-01-17,32.75,0.0,45.76,3.34
2015-01-18,32.66,0.0,47.38,3.24
2015-01-19,32.58,0.0,50.37,2.66
2015-01-20,29.6,0.0,62.36,2.41
2015-01-21,31.6,0.0,59.3,2.77
2015-01-22,29.96,0.32,70.74,2.89
2015-01-23,31.23,0.0,65.43,3.14
2015-01-24,32.42,0.04,58.52,2.69
2015-01-25,31.31,0.37,58.44,2.26
2015-01-26,30.29,0.0,63.29,3.1
2015-01-27,30.9,0.0,50.45,3.35
2015-01-28,32.58,0.0,53.47,2.73
2015-01-29,33.04,0.0,54.87,2.29
2015-01-30,34.67,0.0,47.17,3.78
2015-01-31,35.25,0.0,39.31,4.21
2015-02-01,33.92,0.0,42.04,2.9
2015-02-02,34.32,0.0,47.57,2.92
2015-02-03,35.46,0.0,42.05,2.82
2015-02-04,35.69,0.0,39.26,2.98
2015-02-05,35.45,0.0,37.0,3.21
2015-02-06,34.56,0.01,41.43,3.22
2015-02-07,34.27,0.0,47.95,2.76
2015-02-08,31.59,0.0,49.65,2.91
2015-02-09,34.79,0.0,36.79,3.54
2015-02-10,34.99,0.01,47.67,3.91
2015-02-11,34.54,0.03,48.71,2.63
2015-02-12,35.0,0.0,41.17,3.22
2015-02-13,36.19,0.0,33.99,3.35
2015-02-14,35.61,0.0,33.73,2.91
2015-02-15,35.36,0.0,38.81,2.93
2015-02-16,37.74,0.0,43.49,3.17
2015-02-17,36.83,0.0,38.74,3.22
2015-02-18,34.53,0.0,51.38,2.74
2015-02-19,35.9,0.0,54.73,2.64
2015-02-20,36.58,0.0,44.84,3.24
2015-02-21,38.67,0.0,26.17,3.63
2015-02-22,39.02,0.0,31.94,3.2
2015-02-23,38.45,0.0,36.36,3.49
2015-02-24,36.87,0.0,44.97,2.51
2015-02-25,35.32,0.0,57.32,3.41
2015-02-26,33.17,0.0,52.47,3.36
2015-02-27,32.81,0.0,50.67,2.76
2015-02-28,31.87,1.74,55.15,3.01
2015-03-01,25.52,40.68,79.43,3.94
2015-03-02,28.06,0.23,65.27,3.83
2015-03-03,28.24,0.0,58.64,3.05
2015-03-04,30.25,0.0,54.67,3.01
2015-03-05,33.53,0.0,54.4,2.86
2015-03-06,35.93,0.0,48.19,3.44
2015-03-07,35.79,0.0,42.11,3.69
2015-03-08,34.69,0.0,50.52,3.33
2015-03-09,36.48,0.0,51.9,2.91
2015-03-10,37.61,0.26,56.29,3.53
2015-03-11,36.34,0.18,54.17,2.55
2015-03-12,38.32,0.0,44.84,3.47
2015-03-13,38.1,0.77,49.4,3.25
2015-03-14,35.04,2.05,55.09,2.81
2015-03-15,33.2,1.24,64.82,2.44
2015-03-16,32.67,0.07,64.53,3.08
2015-03-17,36.02,0.0,45.05,3.57
2015-03-18,38.26,0.0,37.19,3.31
2015-03-19,40.32,0.02,41.02,3.77
2015-03-20,40.89,0.03,37.87,3.22
2015-03-21,40.47,0.19,39.88,2.75
2015-03-22,41.14,0.23,40.81,2.68
2015-03-23,40.01,0.12,40.13,2.25
2015-03-24,41.11,0.09,47.22,2.68
2015-03-25,43.45,0.07,39.01,2.72
2015-03-26,40.97,0.11,50.84,2.43
2015-03-27,41.05,0.48,53.02,2.49
2015-03-28,39.92,0.19,52.18,2.26
2015-03-29,36.82,2.5,52.78,2.22
2015-03-30,38.82,0.75,44.29,3.61
2015-03-31,37.78,0.0,45.49,3.53
2015-04-01,38.4,0.0,45.14,2.69
2015-04-02,37.45,0.0,56.26,3.08
2015-04-03,36.57,0.0,56.92,3.41
2015-04-04,36.18,0.0,56.9,3.2
2015-04-05,36.02,0.03,64.94,3.01
2015-04-06,36.83,0.0,61.17,2.77
2015-04-07,36.84,0.01,60.59,2.56
2015-04-08,37.45,0.0,58.15,2.5
2015-04-09,37.92,0.03,57.9,2.49
2015-04-10,37.01,0.17,63.19,2.88
2015-04-11,36.02,0.23,61.96,2.93
2015-04-12,36.22,0.12,55.01,2.53
2015-04-13,35.01,0.55,57.79,2.43
2015-04-14,35.69,0.14,56.52,2.78
2015-04-15,37.78,0.04,50.91,2.77
2015-04-16,39.35,0.02,48.06,2.69
2015-04-17,39.29,0.07,54.81,3.03
2015-04-18,40.1,0.02,53.12,2.38
2015-04-19,41.17,0.01,47.12,2.57
2015-04-20,42.22,0.04,50.24,2.58
2015-04-21,40.09,0.1,55.76,3.17
2015-04-22,38.6,0.07,58.05,3.6
2015-04-23,38.96,0.03,56.15,3.14
2015-04-24,39.12,0.01,51.92,3.03
2015-04-25,38.29,0.01,54.65,2.66
2015-04-26,38.54,0.0,56.84,2.95
2015-04-27,39.87,0.02,57.27,2.76
2015-04-28,39.28,0.04,57.43,3.13
2015-04-29,39.45,0.04,60.78,2.88
2015-04-30,38.79,0.02,61.2,2.8
2015-05-01,37.41,0.3,63.29,2.58
2015-05-02,40.08,0.33,61.57,2.58
2015-05-03,38.87,0.44,58.44,2.68
2015-05-04,39.69,0.29,57.98,2.49
2015-05-05,40.03,1.0,54.49,2.78
2015-05-06,40.4,0.71,47.37,2.68
2015-05-07,40.33,0.09,50.57,3.17
2015-05-08,40.13,0.31,55.0,3.36
2015-05-09,39.73,0.46,54.27,3.88
2015-05-10,39.99,0.38,52.51,3.2
2015-05-11,40.02,0.73,56.33,3.57
2015-05-12,38.63,1.25,59.77,2.99
2015-05-13,36.09,14.22,64.9,2.47
2015-05-14,37.9,8.28,63.41,2.39
2015-05-15,38.81,1.88,62.32,2.24
2015-05-16,39.22,0.82,61.49,2.38
2015-05-17,37.21,0.08,66.31,2.42
2015-05-18,38.14,0.02,64.23,3.13
2015-05-19,36.4,0.02,66.16,3.54
2015-05-20,37.41,0.07,64.05,3.61
2015-05-21,36.82,0.02,65.41,3.85
2015-05-22,35.48,0.01,66.62,3.59
2015-05-23,34.99,0.01,68.4,3.8
2015-05-24,36.59,0.01,66.24,4.28
2015-05-25,35.22,0.0,68.8,4.3
2015-05-26,36.79,0.09,65.11,4.11
2015-05-27,37.84,0.18,63.71,4.09
2015-05-28,38.57,0.2,64.5,4.17
2015-05-29,38.14,0.31,64.85,3.69
2015-05-30,36.64,0.7,63.81,3.38
2015-05-31,39.16,0.52,57.97,3.58
2015-06-01,36.3,0.87,64.32,4.21
2015-06-02,36.46,0.49,63.76,4.08
2015-06-03,37.65,0.41,60.48,3.12
2015-06-04,37.51,3.11,59.94,3.17
2015-06-05,34.05,5.92,69.41,2.12
2015-06-06,34.66,2.0,70.4,2.06
2015-06-07,33.49,16.51,74.87,3.16
2015-06-08,34.42,9.52,75.22,4.78
2015-06-09,32.98,8.71,77.03,4.31
2015-06-10,32.16,5.96,79.12,4.18
2015-06-11,32.74,37.67,80.22,3.88
2015-06-12,29.42,31.02,86.02,4.01
2015-06-13,30.15,20.74,84.04,5.03
2015-06-14,29.45,23.62,83.66,4.28
2015-06-15,31.5,9.26,77.34,3.76
2015-06-16,32.42,12.47,77.04,4.14
2015-06-17,30.74,16.82,80.23,5.36
2015-06-18,29.82,117.92,86.2,6.15
2015-06-19,29.94,83.8,87.14,6.82
2015-06-20,28.41,62.38,92.25,8.06
2015-06-21,28.98,132.4,91.37,7.85
2015-06-22,27.89,73.43,92.13,8.66
2015-06-23,28.25,75.64,90.61,11.05
2015-06-24,28.45,29.42,90.4,8.65
2015-06-25,29.56,16.02,88.56,8.17
2015-06-26,29.8,1.44,87.83,7.32
2015-06-27,30.1,0.38,86.94,5.76
2015-06-28,30.12,0.85,86.8,4.69
2015-06-29,30.17,2.01,86.34,4.26
2015-06-30,30.2,3.08,86.63,3.97
2015-07-01,30.36,1.66,86.14,4.01
2015-07-02,30.49,0.22,86.46,3.52
2015-07-03,30.48,0.31,85.9,4.28
2015-07-04,30.09,0.37,86.29,5.05
2015-07-05,30.49,0.14,84.54,5.38
2015-07-06,30.16,0.15,83.92,6.38
2015-07-07,30.09,1.21,85.63,6.43
2015-07-08,30.21,1.93,85.43,5.58
2015-07-09,30.0,1.96,86.97,5.42
2015-07-10,30.09,1.91,86.07,6.31
2015-07-11,29.85,3.9,84.62,6.0
2015-07-12,30.85,1.18,84.36,4.72
2015-07-13,30.34,0.67,85.81,3.61
2015-07-14,30.81,0.3,85.26,3.39
2015-07-15,30.6,0.52,84.31,4.49
2015-07-16,30.55,2.2,84.15,5.51
2015-07-17,30.5,2.51,83.83,5.93
2015-07-18,30.51,4.17,84.35,6.05
2015-07-19,29.64,5.97,86.13,6.28
2015-07-20,27.75,42.52,90.19,5.08
2015-07-21,28.09,38.8,90.13,5.32
2015-07-22,28.46,24.98,89.95,5.31
2015-07-23,30.01,18.29,87.95,5.39
2015-07-24,28.3,22.78,88.86,5.6
2015-07-25,28.68,16.33,89.44,5.25
2015-07-26,28.44,7.38,88.43,6.02
2015-07-27,28.36,16.99,87.84,7.65
2015-07-28,27.89,31.62,88.68,7.38
2015-07-29,28.38,15.04,88.14,6.73
2015-07-30,28.72,10.14,87.78,6.04
2015-07-31,29.06,5.5,87.71,5.51
2015-08-01,29.27,3.13,86.72,4.83
2015-08-02,29.45,1.28,86.61,4.52
2015-08-03,29.01,1.21,86.55,4.58
2015-08-04,28.63,2.92,88.56,5.08
2015-08-05,28.23,11.48,89.92,4.94
2015-08-06,28.73,5.93,88.72,5.18
2015-08-07,29.81,3.16,88.08,4.4
2015-08-08,29.35,4.89,88.04,4.2
2015-08-09,29.25,5.09,89.18,3.65
2015-08-10,29.36,2.66,88.96,3.8
2015-08-11,28.32,4.02,90.86,2.81
2015-08-12,28.81,3.06,89.51,2.9
2015-08-13,29.03,2.74,88.33,3.63
2015-08-14,29.79,5.65,87.5,4.13
2015-08-15,30.17,4.2,87.34,4.03
2015-08-16,29.64,5.0,86.95,3.44
2015-08-17,28.9,7.73,88.08,3.06
2015-08-18,30.17,0.65,85.97,1.97
2015-08-19,31.14,0.04,83.96,1.95
2015-08-20,30.3,0.09,86.14,2.36
2015-08-21,29.86,1.47,87.06,3.61
2015-08-22,29.62,1.3,85.13,4.22
2015-08-23,29.93,0.76,85.48,4.19
2015-08-24,29.43,2.47,85.12,4.09
2015-08-25,29.7,8.38,86.55,4.36
2015-08-26,30.01,4.73,86.12,4.02
2015-08-27,29.33,3.59,86.25,3.44
2015-08-28,29.23,8.87,87.96,2.85
2015-08-29,29.69,6.6,88.15,2.99
2015-08-30,29.51,5.86,87.54,3.53
2015-08-31,28.99,3.8,88.15,3.21
